gdp,population,total_generation,co2
4156140000000.0,195653775.0,297.739380899,3399.547
4428300000000.0,198265397.0,297.739380899,3571.421
4538980000000.0,200699913.0,297.739380899,3705.461
4754930000000.0,203011021.0,297.739380899,3840.919
4903770000000.0,205300032.0,297.739380899,4035.145
4912640000000.0,207796339.0,297.739380899,4339.686
5065680000000.0,210426424.0,297.739380899,4365.465
5334300000000.0,212842574.0,297.739380899,4573.015
5637200000000.0,215006548.0,298.202393,4785.434
5621370000000.0,217076474.0,327.68890400000004,4621.419
5605790000000.0,219129300.0,325.969101,4478.563
5899590000000.0,221168756.0,312.387204,4748.111
6166910000000.0,223259417.0,297.739380899,4889.953
6518620000000.0,225396098.0,311.007307,4941.708
6740170000000.0,227575083.0,311.691367,5008.956
6743210000000.0,229858654.0,308.658216,4808.877
6911870000000.0,232201613.0,297.739380899,4686.743
6782210000000.0,234583158.0,341.934348,4447.602
7066240000000.0,236986362.0,360.479788108,4429.711
7581110000000.0,239353968.0,360.479788108,4662.488
7874870000000.0,241690439.0,323.591822576,4652.938
8146030000000.0,243953810.0,335.69505505,4663.711
8432570000000.0,246161292.0,298.08981179799997,4826.013
8787200000000.0,248393235.0,297.739380899,5050.858
9091290000000.0,250675047.0,325.9649561,5132.543
9250380000000.0,253373385.0,352.92777865,5120.957
9224690000000.0,256471425.0,351.3367916,5062.957
9552660000000.0,259606020.0,319.56661837,5174.228
9814940000000.0,262633235.0,349.68702068,5272.851
10211200000000.0,265474811.0,329.6799611,5364.279
10488900000000.0,268205794.0,360.479788108,5425.259
10887000000000.0,270860696.0,360.479788108,5612.983
11375600000000.0,273468014.0,360.479788108,5688.142
11881800000000.0,276119323.0,360.479788108,5733.281
12438400000000.0,278785482.0,360.479788108,5803.918
12947400000000.0,281484127.0,345.51244667000003,6010.136
13073800000000.0,284279629.0,297.739380899,5907.74
13307300000000.0,287084336.0,341.0173966,5946.308
13680900000000.0,289908091.0,353.21424429999996,6010.146
14198900000000.0,292786247.0,349.48476946000005,6112.655
14673800000000.0,295716665.0,357.76514465,6132.183
15065200000000.0,298730210.0,360.479788108,6052.686
15333200000000.0,301844227.0,352.8069355,6130.123
15288600000000.0,304970328.0,360.479788108,5915.119
14864000000000.0,308023451.0,360.479788108,5480.726
15239600000000.0,311062786.0,360.479788108,5679.715
15477900000000.0,314105078.0,360.479788108,5546.116
