year,population,gdp,co2,solar_generation,wind_generation,hydro_generation,other_generation
1965,195653775.0,4156140000000.0,3399.547,,,198.97409,13.332232
1966,198265397.0,4428300000000.0,3571.421,,,199.9369,14.062007
1967,200699913.0,4538980000000.0,3705.461,,,227.22081,14.073571
1968,203011021.0,4754930000000.0,3840.919,,,228.15471,15.546045
1969,205300032.0,4903770000000.0,4035.145,,,256.02853,16.22706
1970,207796339.0,4912640000000.0,4339.686,,,253.49237,16.235903
1971,210426424.0,5065680000000.0,4365.465,,,272.254,16.584414
1972,212842574.0,5334300000000.0,4573.015,,,278.71597,18.67298
1973,215006548.0,5637200000000.0,4785.434,,,278.2127,19.989693
1974,217076474.0,5621370000000.0,4621.419,,,307.28464,20.404264
1975,219129300.0,5605790000000.0,4478.563,,,306.2148,19.754301
1976,221168756.0,5899590000000.0,4748.111,,,289.82245,22.564754
1977,223259417.0,6166910000000.0,4889.953,,,225.85725,23.536121
1978,225396098.0,6518620000000.0,4941.708,,,286.32852,24.678787
1979,227575083.0,6740170000000.0,5008.956,,,285.93533,25.756037
1980,229858654.0,6743210000000.0,4808.877,,,282.0021,26.656116
1981,232201613.0,6911870000000.0,4686.743,,,266.50977,27.377604
1982,234583158.0,6782210000000.0,4447.602,,,315.5293,26.405048
1983,236986362.0,7066240000000.0,4429.711,0.003,0.002694949,338.67764,29.8046
1984,239353968.0,7581110000000.0,4662.488,0.00530101,0.006555556,327.58725,35.595325
1985,241690439.0,7874870000000.0,4652.938,0.010737374,0.005820202,287.18237,36.392895
1986,243953810.0,8146030000000.0,4663.711,0.014173737,0.004231313,296.97498,38.70167
1987,246161292.0,8432570000000.0,4826.013,0.01060303,0.003576768,255.4102,42.665432
1988,248393235.0,8787200000000.0,5050.858,0.009185859,0.000879798,228.38464,42.394062
1989,250675047.0,9091290000000.0,5132.543,0.2531323,2.1333768,274.72418,48.854267
1990,253373385.0,9250380000000.0,5120.957,0.37079495,2.8167677,292.2809,57.459316
1991,256471425.0,9224690000000.0,5062.957,0.4782529,2.9807587,287.32602,60.55176
1992,259606020.0,9552660000000.0,5174.228,0.40884447,2.9166899,251.42567,64.815414
1993,262633235.0,9814940000000.0,5272.851,0.47516188,3.0361888,279.25095,66.92472
1994,265474811.0,10211200000000.0,5364.279,0.5018728,3.4819283,259.3413,66.35486
1995,268205794.0,10488900000000.0,5425.259,0.5144716,3.1962152,311.21982,63.26508
1996,270860696.0,10887000000000.0,5612.983,0.54134125,3.2667363,347.54947,64.82596
1997,273468014.0,11375600000000.0,5688.142,0.5326957,3.3212476,355.9731,65.82008
1998,276119323.0,11881800000000.0,5733.281,0.52465934,3.0562587,322.08926,65.61713
1999,278785482.0,12438400000000.0,5803.918,0.5183421,4.5333314,316.6052,66.47772
2000,281484127.0,12947400000000.0,6010.136,0.51851267,5.649759,272.76135,66.582825
2001,284279629.0,13073800000000.0,5907.74,0.5743511,6.8053846,210.24,66.83044
2002,287084336.0,13307300000000.0,5946.308,0.6015976,10.458869,258.16757,71.78936
2003,289908091.0,13680900000000.0,6010.146,0.6106543,11.30047,269.97098,71.33214
2004,292786247.0,14198900000000.0,6112.655,0.69813246,14.286607,262.55466,71.94537
2005,295716665.0,14673800000000.0,6132.183,0.74890065,17.990454,266.42773,72.59806
2006,298730210.0,15065200000000.0,6052.686,0.82443213,26.857714,285.544,73.08227
2007,301844227.0,15333200000000.0,6130.123,1.0954105,34.797905,243.04407,73.86955
2008,304970328.0,15288600000000.0,5915.119,1.6330626,55.922325,251.05386,73.551476
2009,308023451.0,14864000000000.0,5480.726,2.0759604,74.632454,271.53308,73.15986
2010,311062786.0,15239600000000.0,5679.715,3.0130365,95.60833,257.2747,75.061844
2011,314105078.0,15477900000000.0,5546.116,4.738904,121.3905,316.09534,75.77516
2012,317115348.0,15830900000000.0,5344.086,9.037014,142.24414,274.03003,77.0361
2013,320110753.0,16122500000000.0,5480.157,16.039696,169.5351,266.54984,80.665535
2014,323115378.0,16491300000000.0,5528.681,29.216162,183.49019,255.75058,84.07023
2015,326126498.0,16937600000000.0,5376.473,39.42626,192.645,246.45312,83.73627
2016,329179421.0,17220100000000.0,5252.932,55.4202,229.28542,263.76367,82.722565
2017,332204656.0,17606100000000.0,5212.162,78.05758,256.8714,296.80646,82.80032
2018,335056495.0,18124700000000.0,5377.797,94.30808,275.42166,289.5146,81.8932
2019,337790068.0,18540600000000.0,5262.145,107.97374,298.8712,285.46765,76.82054
2020,339436157.0,18027400000000.0,4714.628,132.04141,341.35156,282.7805,74.31679
2021,340161441.0,19099400000000.0,5032.213,166.08282,382.01694,248.96278,73.92234
2022,341534041.0,19493200000000.0,5078.871,207.15051,438.6842,251.27354,71.509094
2023,343477332.0,,4911.391,240.52525,429.5307,236.32129,67.2901
